County of Sacramento
Retail Food Facility Official Inspection Report
""
FA0046532
""
report_id,facility_name,permit_holder,address,city,zip_code,violation
FA0046532,GN BAZAAR,G & H INTERNATIONAL EMPORIUM INC,7271 55TH ST # B,Sacramento,95823,"# 27 FOOD PROTECTED FROM CONTAMINATION
"
FA0046532,GN BAZAAR,G & H INTERNATIONAL EMPORIUM INC,7271 55TH ST # B,Sacramento,95823,"# 32a FOOD PRESENTATION AND LABELING
"
