County of Sacramento
Retail Food Facility Official Inspection Report
""
FA0001388
""
report_id,facility_name,permit_holder,address,city,zip_code,violation
FA0001388,SHANGHAI GARDEN,SHANGHAI GARDEN OF SACRAMENTO 888,800 ALHAMBRA BLVD,Sacramento,95816,"# 9 COOLING METHODS
"
FA0001388,SHANGHAI GARDEN,SHANGHAI GARDEN OF SACRAMENTO 888,800 ALHAMBRA BLVD,Sacramento,95816,"# 4 EATING, DRINKING, OR TOBACCO USE
"
FA0001388,SHANGHAI GARDEN,SHANGHAI GARDEN OF SACRAMENTO 888,800 ALHAMBRA BLVD,Sacramento,95816,"# 5b BARE HAND CONTACT AND GLOVE USE
"
FA0001388,SHANGHAI GARDEN,SHANGHAI GARDEN OF SACRAMENTO 888,800 ALHAMBRA BLVD,Sacramento,95816,"# 14a FOOD CONTACT SURFACES CLEANED AND SANITIZED
"
FA0001388,SHANGHAI GARDEN,SHANGHAI GARDEN OF SACRAMENTO 888,800 ALHAMBRA BLVD,Sacramento,95816,"# 27 FOOD PROTECTED FROM CONTAMINATION
"
FA0001388,SHANGHAI GARDEN,SHANGHAI GARDEN OF SACRAMENTO 888,800 ALHAMBRA BLVD,Sacramento,95816,"# 33 NONFOOD-CONTACT SURFACES CLEAN
"
FA0001388,SHANGHAI GARDEN,SHANGHAI GARDEN OF SACRAMENTO 888,800 ALHAMBRA BLVD,Sacramento,95816,"# 36 EQUIPMENT STORED IN APPROVED LOCATION
"
FA0001388,SHANGHAI GARDEN,SHANGHAI GARDEN OF SACRAMENTO 888,800 ALHAMBRA BLVD,Sacramento,95816,"# 40 WIPING CLOTHS STORAGE AND USE
"
FA0001388,SHANGHAI GARDEN,SHANGHAI GARDEN OF SACRAMENTO 888,800 ALHAMBRA BLVD,Sacramento,95816,"# 41 PLUMBING FIXTURES AND BACKFLOW PREVENTION
"
