County of Sacramento
Retail Food Facility Official Inspection Report
""
FA0008856
""
report_id,facility_name,permit_holder,address,city,zip_code,violation
FA0008856,BIG LOTS #1896,BIG LOTS STORES INC,8539 ELK GROVE BLVD,Elk Grove,95624,"# 13 FOOD IN GOOD CONDITION, SAFE, AND UNADULTERATED
"
FA0008856,BIG LOTS #1896,BIG LOTS STORES INC,8539 ELK GROVE BLVD,Elk Grove,95624,"# 27 FOOD PROTECTED FROM CONTAMINATION
"
FA0008856,BIG LOTS #1896,BIG LOTS STORES INC,8539 ELK GROVE BLVD,Elk Grove,95624,"# 33 NONFOOD-CONTACT SURFACES CLEAN
"
