business_id,name,address,city,state,postal_code,latitude,longitude,phone_number
FA0019278,GOLD RIVER DISCOVERY CENTER,2200 ROARING CAMP DR ,GOLD RIVER,CA,95670,38.62709223,-121.2486954,+19168672109
FA0003033,CAMBRIDGE HEIGHTS ELEMENTARY SCHOOL,5555 FLEETWOOD DR ,CITRUS HEIGHTS,CA,95621,38.66663333,-121.2955877,+19168672114
FA0001754,LA VISTA CENTER,4501 BANNISTER RD ,FAIR OAKS,CA,95628,38.64644521,-121.2885079,+19168672121
FA0002204,NORTHRIDGE ELEMENTARY SCHOOL,5150 COCOA PALM WAY ,FAIR OAKS,CA,95628,38.66030795,-121.2569669,+19168672939
FA0003319,CARNICERIA Y PANADERIA LAS AMERICAS,10319 FOLSOM BLVD ,RANCHO CORDOVA,CA,95670,,,+19168689841
FA0046417,SUBWAY SANDWICH,7238 MURIETA DR A-2B,RANCHO MURIETA,CA,95683,,,+19168697212
FA0048110,THE SANDWICH SPOT,1971 ZINFANDEL DR STE 200,RANCHO CORDOVA,CA,95670,,,+19168699381
FA0042148,SUBWAY #42933,6156 SUNRISE BLVD,CITRUS HEIGHTS,CA,95610,,,+19168708090
FA0003028,COURTYARD D'ORO,1107 FRONT ST,SACRAMENTO,CA,95814,,,+19168712481
FA0019452,FRESHMEX EXPRESS MEXICAN GRILL #3,1880 PRAIRIE CITY RD ,FOLSOM,CA,95630,,,+19168717236
FA0007910,IMPACT NUTRITION,24988 BLUE RAVINE 102,FOLSOM,CA,95630,,,+19168717450
FA0005920,SANTA FE MARKET,5840 SANTA FE WAY,NORTH HIGHLANDS,CA,95660,,,+19168727376
FA0049770,7 FRUITY,8765 CENTER PKWY D300,SACRAMENTO,CA,95823,,,+19168731057
FA0001400,BLUE LAMP,1400 ALHAMBRA BLVD ,SACRAMENTO,CA,95816,,,+19168733134
FA0016634,YO-YO YOGURT,2580 FAIR OAKS BLVD 10,SACRAMENTO,CA,95825,38.57336236,-121.4020957,+19168741515
FA0012751,SSP AMERICA [PEETS COFFEE],6850 AIRPORT BLVD,SACRAMENTO,CA,95837,38.69535087,-121.5860573,+19168773530
FA0049731,COFFEE HANGAR,5411 LUCE AVE,MCCLELLAN,CA,95652,,,+19168778164
FA0015212,ALL IN ONE MARKET & PIZZA,5607 HILLSDALE BLVD ,SACRAMENTO,CA,95842,,,+19168895984
FA0049681,PINOT'S PALETTE,8962 ELK GROVE BLVD,ELK GROVE,CA,95624,,,+19168952627
FA0019263,TEA-REX (CHASHITSU),2475 ELK GROVE BLVD 150,ELK GROVE,CA,95758,,,+19168960009
FA0030573,SUSHI Q,8325 ELK GROVE FLORIN RD 400,SACRAMENTO,CA,95829,,,+19168960116
FA0031567,SAC VALLEY TRUCK STOP,7891 STOCKTON BLVD ,SACRAMENTO,CA,95823,,,+19168965676
FA0040915,CIG MO,7298 FRANKLIN BLVD STE E,SACRAMENTO,CA,95823,,,+19168966335
FA0046264,RED ROOF INN,7780 STOCKTON BLVD,SACRAMENTO,CA,95823,,,+19168967040
FA0048053,GALT MINI MART & LIQUOR,640 CAROL DR STE 100,GALT,CA,95632,,,+19168971751
FA0003799,WALMART #3081 [Restaurant],8915 GERBER RD ,SACRAMENTO,CA,95829,,,+19168975020
FA0002865,PARLOR ICE CREAM PUFFS,2620 FAIR OAKS BLVD ,SACRAMENTO,CA,95864,38.57392189,-121.4005114,+19168976049
FA0032615,KABOB PALACE,1850 DEL PASO RD STE 4,SACRAMENTO,CA,95834,,,+19168977436
FA0040514,POLLO Y MARISCOS SAN JUAN,75 QUINTA CT A,SACRAMENTO,CA,95823,,,+19168979148
FA0004551,FIT EATS,9648 KIEFER BLVD ,SACRAMENTO,CA,95827,,,+19168992757
FA0007094,QUICKLY FREEPORT,3071 FREEPORT BLVD ,SACRAMENTO,CA,95818,,,+19168999984
FA0019464,SUBWAY SANDWICHES AND SALADS,4845 WATT AVE C,NORTH HIGHLANDS,CA,95660,38.65388762,-121.3835343,+19169004512
FA0002587,CHEWY'S,3445 EL CAMINO AVE ,SACRAMENTO,CA,95821,,,+19169008477
FA0003706,THE WHIP,2737 FULTON AVE,SACRAMENTO,CA,95821,,,+19169008644
FA0040126,MORPH FIT,2766 E BIDWELL ST 100,FOLSOM,CA,95630,,,+19169038335
FA0032085,SAFEWAY FUEL CENTER #1895,5400 DEWEY DR ,FAIR OAKS,CA,95628,,,+19169045356
FA0045804,KINGS  MINI MART,4132 MANZANITA AVE STE 300,CARMICHAEL,CA,95608,,,+19169046058
FA0001540,EL PATRON RESTAURANT & CENADURIA,2330 ARDEN WAY,SACRAMENTO,CA,95825,,,+19169108474
FA0045667,JOES BURGER,3332 MATHER FIELD RD,RANCHO CORDOVA,CA,95670,,,+19169108474
FA0006442,SUN-UP MARKET,2620 T ST ,SACRAMENTO,CA,95816,,,+19169126962
FA0004157,RICH EXPRESS CHINESE FOOD,5595 HILLSDALE BLVD STE A,SACRAMENTO,CA,95842,,,+19169144463
FA0032101,KWIK SERV FLORIN RD BOYETT PETROLEUM RMS-702,4705 FLORIN RD ,SACRAMENTO,CA,95823,,,+19169175211
FA0012927,CATERING FOOD SUPPLY,8531 THYS CT,SACRAMENTO,CA,95828,38.51928753,-121.3889133,+19169175216
FA0045650,TEMPLE GARDEN,5701 BROADWAY STE A,SACRAMENTO,CA,95817,,,+19169190788
FA0003543,ROMEO'S BAIT & TACKLE,8121 FREEPORT BLVD ,SACRAMENTO,CA,95832,,,+19169197462
FA0001530,DEL TACO INC #140,2200 ARDEN WAY ,SACRAMENTO,CA,95825,,,+19169200541
FA0014223,CARNICERIA FAMILIA LOPEZ MARKET #3,2160 MARCONI AVE ,SACRAMENTO,CA,95821,,,+19169200903
FA0001490,PANDA EXPRESS,1689 ARDEN WAY STE 1167,SACRAMENTO,CA,95815,,,+19169200959
FA0004196,LA BOU,945 HOWE AVE ,SACRAMENTO,CA,95825,,,+19169200974
FA0018331,QUALITY CIGARETTE PLUS,988 EL CAMINO AVE ,SACRAMENTO,CA,95815,,,+19169201209
FA0002817,OVATIONS AT CAL EXPO [WAREHOUSE],1600 EXPOSITION BLVD ,SACRAMENTO,CA,95815,38.59707713,-121.4215772,+19169201212
FA0014420,JAMBA JUICE #419,2100 ARDEN WAY 192,SACRAMENTO,CA,95825,38.59606145,-121.4165471,+19169201606
FA0002530,BEL AIR SUPERMARKET #510 [Bakery],1540 W EL CAMINO AVE ,SACRAMENTO,CA,95833,38.61292175,-121.4956008,+19169202493
FA0016791,LOTUS FUSION,1620 W EL CAMINO AVE # 148,SACRAMENTO,CA,95833,,,+19169203300
FA0018713,TACOS LA PIEDAD #3,2700 NORTHGATE BLVD ,SACRAMENTO,CA,95833,,,+19169203456
FA0001532,ARBY'S,2238 ARDEN WAY,SACRAMENTO,CA,95825,,,+19169203480
FA0005439,MCDONALD'S RESTAURANTS #14729,4242 NORWOOD AVE,SACRAMENTO,CA,95838,,,+19169204242
FA0012738,CIRCLE 6 FOOD STORE INC,739 ARDEN WAY ,SACRAMENTO,CA,95815,38.60673082,-121.4499671,+19169204786
FA0001542,TOGO'S EATERY,2334 ARDEN WAY ,SACRAMENTO,CA,95825,38.59556585,-121.4089412,+19169204941
FA0030106,FAIRFIELD INN SACRAMENTO,1780 TRIBUTE RD ,SACRAMENTO,CA,95815,38.59646433,-121.4467019,+19169205300
FA0040066,TOWNE PLACE SUITES BY MARRIOTT,1784 TRIBUTE RD ,SACRAMENTO,CA,95815,,,+19169205400
FA0004233,ARIGATO SUSHI,1608 HOWE AVE STE A-5,SACRAMENTO,CA,95825,,,+19169205930
FA0005407,MCDONALD'S,3773 NORTHGATE BLVD ,SACRAMENTO,CA,95834,,,+19169205940
FA0047622,PARADIES TERM A [SACRAMENTO TRAVELMART],6850 AIRPORT BLVD,SACRAMENTO,CA,95837,,,+19169206480
FA0045770,PARADIES TERM B [HEALTHY LIVING],6950 AIRPORT BLVD STE BL302,SACRAMENTO,CA,95837,,,+19169206480
FA0003756,SWABBIES RESTAURANT & BAR [Restaurant & Bar],5871 GARDEN HWY ,SACRAMENTO,CA,95837,,,+19169208088
FA0001535,CARL'S JR RESTAURANT#8740,2280 ARDEN WAY ,SACRAMENTO,CA,95825,,,+19169208157
FA0001541,LEATHERBY'S FAMILY,2333 ARDEN WAY ,SACRAMENTO,CA,95825,,,+19169208382
FA0044090,524 MEXICAN FOOD RESTAURANT,3830 NORTHGATE BLVD,SACRAMENTO,CA,95834,,,+19169208640
FA0032115,MY GOODS MARKET #5435,2200 FAIR OAKS BLVD ,SACRAMENTO,CA,95825,,,+19169208671
FA0005162,ARCADE MARKET [Restaurant],3173 MARYSVILLE BLVD,SACRAMENTO,CA,95815,,,+19169208831
FA0006891,RESIDENCE INN SACRAMENTO,1530 HOWE AVE,SACRAMENTO,CA,95825,,,+19169209111
FA0001498,CHUCK E CHEESE'S,1690 ARDEN WAY ,SACRAMENTO,CA,95815,,,+19169209181
FA0002532,TACO BELL #28111,1580 W EL CAMINO AVE ,SACRAMENTO,CA,95833,,,+19169209520
FA0006933,TACO BELL #28750,1300 HOWE AVE ,SACRAMENTO,CA,95825,,,+19169209734
FA0017569,LUCKY EXPRESS,3828 WILLOW ST ,SACRAMENTO,CA,95838,,,+19169209888
FA0028452,SOUTH NATOMAS SPORT & EVENT ARENA,1960 RAILROAD DR ,SACRAMENTO,CA,95815,,,+19169210222
FA0017028,STARBUCKS COFFEE #6714,2620 GATEWAY OAKS DR ,SACRAMENTO,CA,95833,38.61324076,-121.5157577,+19169210870
FA0002358,B & W LIQUOR STORE,1810 DEL PASO BLVD ,SACRAMENTO,CA,95815,,,+19169210999
FA0002508,PIZZA HUT - DELIVERY #283002,604 W EL CAMINO AVE ,SACRAMENTO,CA,95833,,,+19169211800
FA0007054,TAPATIO BROTHERS MEXICAN MARKET,2414 HOWE AVE ,SACRAMENTO,CA,95825,,,+19169211890
FA0005742,COMFORT MARKET,2800 RIO LINDA BLVD,SACRAMENTO,CA,95815,38.6185576,-121.4458683,+19169211919
FA0003778,CITY CAFE,2720 GATEWAY OAKS DR 150,SACRAMENTO,CA,95833,,,+19169212489
FA0018496,PLUTO'S,1735 ARDEN WAY 216,SACRAMENTO,CA,95815,,,+19169212500
FA0003754,VIRGIN STURGEON,1577 GARDEN HWY ,SACRAMENTO,CA,95833,,,+19169212694
FA0017351,FUTURES HIGH SCHOOL,3701 STEPHEN DR ,NORTH HIGHLANDS,CA,95660,38.67770267,-121.3794404,+19169213701
FA0003012,MARTIN LUTHER KING JUNIOR HIGH SCH,3051 FAIRFIELD ST ,SACRAMENTO,CA,95815,38.62233858,-121.4530895,+19169213714
FA0007744,RIVER'S EDGE AT CAMPUS COMMONS,601 FEATURE DR,SACRAMENTO,CA,95825,,,+19169215131
FA0012722,PANDA EXPRESS,1735 ARDEN WAY 224,SACRAMENTO,CA,95815,,,+19169215386
FA0045193,THE VITAMIN SHOPPE,1740 ARDEN WAY STE 2,SACRAMENTO,CA,95825,,,+19169215643
FA0044263,PINKBERRY #81,2100 ARDEN WAY 195,SACRAMENTO,CA,95825,,,+19169215852
FA0004219,RED LOBSTER,1400 HOWE AVE ,SACRAMENTO,CA,95825,,,+19169216011
FA0002841,MCDONALDS #4446,2320 FAIR OAKS BLVD,SACRAMENTO,CA,95825,,,+19169216013
FA0002509,BASKIN-ROBBINS,606 W EL CAMINO AVE ,SACRAMENTO,CA,95833,38.61120341,-121.4761984,+19169216153
FA0004454,THE EFFORT,1550 JULIESSE AVE ,SACRAMENTO,CA,95815,,,+19169216598
FA0005382,RICO'S PIZZA,2650 NORTHGATE BLVD,SACRAMENTO,CA,95833,,,+19169216700
FA0004194,SUSHI HOOK,813 HOWE AVE ,SACRAMENTO,CA,95825,,,+19169216707
FA0002569,SUSHI KING,2550 W EL CAMINO AVE 13,SACRAMENTO,CA,95833,,,+19169216898
FA0030918,MARDAN INC DBA NORTHGATE CHEVRON,2449 NORTHGATE BLVD ,SACRAMENTO,CA,95833,38.61095957,-121.4758932,+19169216900
FA0001592,J'S RAILROAD CAFE,1844 AUBURN BLVD ,SACRAMENTO,CA,95815,,,+19169218083
FA0015628,INDIA MARKET,5203 ELKHORN BLVD ,SACRAMENTO,CA,95842,,,+19169218480
FA0017169,TOGO'S/BASKIN-ROBBINS,2620 GATEWAY OAKS DR 100,SACRAMENTO,CA,95833,38.6135256,-121.5164778,+19169218648
FA0031929,EL CENTRO CHEVRON,2738 EL CENTRO RD ,SACRAMENTO,CA,95833,,,+19169219205
FA0048553,PRIME TIME NUTRITION #572,811 GRAND AVE STE A-2,SACRAMENTO,CA,95838,,,+19169220150
FA0001779,BELL AVENUE SCHOOL,1900 BELL AVE ,SACRAMENTO,CA,95838,38.64629202,-121.4211309,+19169220202
FA0005591,RUTH'S CHRIS STEAK HOUSE,501 PAVILIONS LN,SACRAMENTO,CA,95825,,,+19169220222
FA0043561,HOLLYS COFFEE CAFE,2890 GATEWAY OAKS DR STE 120,SACRAMENTO,CA,95833,,,+19169220550
FA0002381,BILLS LIQUOR & DELI,2905 DEL PASO BLVD ,SACRAMENTO,CA,95815,,,+19169220608
FA0047333,DRAGON PALACE CHIMES RESTAURANT,2300 NORTHGATE BLVD 100,SACRAMENTO,CA,95833,,,+19169220818
FA0001537,SUBWAY SANDWICHES,2302 ARDEN WAY ,SACRAMENTO,CA,95825,38.59576412,-121.4103261,+19169221111
FA0005781,COURTYARD BY MARRIOTT,2101 RIVER PLAZA DR,SACRAMENTO,CA,95833,,,+19169221120
FA0004230,PHO SAIGON BAY,1537 HOWE AVE 220,SACRAMENTO,CA,95825,,,+19169221288
FA0002575,LEISURE MANOR,2901 EL CAMINO AVE,SACRAMENTO,CA,95821,,,+19169221441
FA0005969,THE MOTHER LODE BAR & DELI,1424 SILICA AVE ,SACRAMENTO,CA,95815,38.60834228,-121.4339132,+19169221480
FA0046845,CAPITOL BEER AND TAP ROOM,2222 FAIR OAKS BLVD,SACRAMENTO,CA,95825,,,+19169221745
FA0005401,A TASTE OF THE ORIENT,3315 NORTHGATE BLVD 8,SACRAMENTO,CA,95834,,,+19169221818
FA0005177,VIVA SUPERMARKET,3845 MARYSVILLE BLVD ,SACRAMENTO,CA,95838,,,+19169222006
FA0004727,RED LION HOTEL WOODLAKE SACRAMENTO,500 LEISURE LN,SACRAMENTO,CA,95815,38.59875203,-121.4542542,+19169222020
FA0001589,CHIMA FOOD & LIQUOR STORE,1530 AUBURN BLVD,SACRAMENTO,CA,95815,,,+19169222090
FA0043807,XIENG KHOUANG MARKET,2511 RIO LINDA BLVD,SACRAMENTO,CA,95815,,,+19169222243
FA0004434,GLENWOOD ELEMENTARY SCHOOL,201 JESSIE AVE,SACRAMENTO,CA,95838,38.64505656,-121.4626289,+19169222767
FA0004234,MCDONALD'S #11576,1721 HOWE AVE ,SACRAMENTO,CA,95825,,,+19169222774
FA0030641,CHICK-FIL-A,2101 ALTA ARDEN WAY,SACRAMENTO,CA,95825,,,+19169222814
FA0005593,CAFE BERNARDO PAVILIONS,515 PAVILIONS LN ,SACRAMENTO,CA,95825,,,+19169222870
FA0014085,RED RUNNER PIZZA,2210 EL CAMINO AVE ,SACRAMENTO,CA,95821,,,+19169223122
FA0002512,WIENERSCHNITZEL #131,845 EL CAMINO AVE ,SACRAMENTO,CA,95815,,,+19169223241
FA0002834,BANDERA,2232 FAIR OAKS BLVD ,SACRAMENTO,CA,95825,,,+19169223524
FA0002636,SE ASIAN BBQ,557 ELEANOR AVE,SACRAMENTO,CA,95815,,,+19169223771
FA0002797,CENTURY COMPLEX [UPPER SNACK BAR],1590 ETHAN WAY,SACRAMENTO,CA,95825,38.59432306,-121.4186163,+19169224241
FA0030910,BELL ARCO,1595 BELL AVE ,SACRAMENTO,CA,95838,38.64768747,-121.429734,+19169224427
FA0030750,HILTON SACRAMENTO ARDEN WEST [COFFEE BAR/LOBBY],2200 HARVARD ST ,SACRAMENTO,CA,95815,38.60728163,-121.4332017,+19169224700
FA0002116,GOLDEN EMPIRE SCHOOL,9045 CANBERRA DR,SACRAMENTO,CA,95826,38.54229586,-121.3663437,+19169224725
FA0003747,SIERRA HEALTH FOUNDATION,1321 GARDEN HWY,SACRAMENTO,CA,95833,,,+19169224755
FA0005169,PROGRESSIVE ELKS LODGE #1587,3634 MARYSVILLE BLVD ,SACRAMENTO,CA,95838,,,+19169225126
FA0001488,HOT DOG ON A STICK,1689 ARDEN WAY 2016,SACRAMENTO,CA,95815,,,+19169225144
FA0003758,TEAL BEND GOLF CLUB,7200 GARDEN HWY,SACRAMENTO,CA,95837,,,+19169225209
FA0001473,SEASONS 52 #4534,1689 ARDEN WAY STE 1065,SACRAMENTO,CA,95815,,,+19169225252
FA0002373,RITE AID #6070,2419 DEL PASO BLVD,SACRAMENTO,CA,95815,,,+19169225433
FA0002524,NEW BLUE SKY CHINESE RESTAURANT,1500 W EL CAMINO AVE # 8,SACRAMENTO,CA,95833,,,+19169225440
FA0030857,GSARWAR MARKET,2199 EL CAMINO AVE ,SACRAMENTO,CA,95821,,,+19169225555
FA0002505,KING'S SUPERMARKET,400 EL CAMINO AVE ,SACRAMENTO,CA,95815,,,+19169225866
FA0004189,JENNY CRAIG WEIGHT LOSS CTR #3107,565 HOWE AVE STE 1,SACRAMENTO,CA,95825,,,+19169226000
FA0004193,RAMEN & MORE,807 HOWE AVE ,SACRAMENTO,CA,95825,,,+19169226227
FA0002571,JACK IN THE BOX #593,2550 W EL CAMINO AVE 593,SACRAMENTO,CA,95833,,,+19169226330
FA0005167,S & T MINI MART,3621 A MARYSVILLE BLVD ,SACRAMENTO,CA,95838,,,+19169226438
FA0005178,CONNIE'S DRIVE IN,4010 MARYSVILLE BLVD,SACRAMENTO,CA,95838,,,+19169226482
FA0031980,SHELL FACILITY #135855,2270 FAIR OAKS BLVD ,SACRAMENTO,CA,95825,,,+19169226653
FA0013611,BUCA DI BEPPO,1249 HOWE AVE ,SACRAMENTO,CA,95825,,,+19169226673
FA0005428,T & Y MARKET,2835 NORWOOD AVE ,SACRAMENTO,CA,95815,,,+19169226757
FA0002353,ENOTRIA CAFE & WINE BAR [ENOTRIA CAFE],1431 DEL PASO BLVD ,SACRAMENTO,CA,95815,,,+19169226792
FA0004435,NORWOOD PINES ALZHEIMERS CNTR-LHCF,500 JESSIE AVE ,SACRAMENTO,CA,95838,38.64342987,-121.4541321,+19169227177
FA0016933,BANGKOK CITY THAI CUISINE,1620 W EL CAMINO AVE 147,SACRAMENTO,CA,95833,,,+19169227410
FA0003863,JIMMY'S SOUL FOOD & HMONG CUISINE [Restaurant],1201 GRAND AVE,SACRAMENTO,CA,95838,,,+19169227501
FA0041617,LITTLE SMOKE SHACK,3291 TRUXEL ST STE 22,SACRAMENTO,CA,95833,,,+19169227566
FA0006490,NATOMAS LIQUOR & DELI,3291 TRUXEL RD 19,SACRAMENTO,CA,95833,,,+19169227829
FA0002568,A-1 MART,2550 W EL CAMINO AVE STE 1 & 2,SACRAMENTO,CA,95833,,,+19169228441
FA0001775,BELL MARKET,1725 BELL ST ,SACRAMENTO,CA,95825,,,+19169228604
FA0002534,MR. CARNITA'S,1589 W EL CAMINO AVE 101,SACRAMENTO,CA,95833,,,+19169228835
FA0004436,WINDSOR CARE CENTER OF SACRAMENTO-LHCF,501 JESSIE AVE,SACRAMENTO,CA,95838,38.64446319,-121.4534797,+19169228855
FA0030835,MCCLELLAN PARK SHELL,5520 DUDLEY BLVD BLDG 900,NORTH HIGHLANDS,CA,95652,38.66768651,-121.3859256,+19169228864
FA0005370,RAMONA'S,"2251 NORTHGATE BLVD, #J",SACRAMENTO,CA,95833,,,+19169229227
FA0019316,AFC SUSHI/HOT WOK @ BEL AIR 510,1540 W EL CAMINO AVE ,SACRAMENTO,CA,95833,,,+19169229295
FA0001536,JACK IN THE BOX #548,2293 ARDEN WAY ,SACRAMENTO,CA,95825,,,+19169229569
FA0041320,SUBWAY #41291,2550 W EL CAMINO AVE 10A,SACRAMENTO,CA,95833,,,+19169230207
FA0002522,DONUTS PLUS,1500 W EL CAMINO AVE 5,SACRAMENTO,CA,95833,,,+19169230941
